02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,3
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,4
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,3
02/01/2017,EKMEK  ,1
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
02/01/2017,EKMEK  ,2
